axis_id,clip_id,a_ind,status,s_commit
timing,3112,1,VIDEO_DETERMINED,
timing,3113,1,VIDEO_DETERMINED,
timing,3114,0.76666666666666672,CROSSING,0.05
timing,3220,1,VIDEO_DETERMINED,
timing,325,1,VIDEO_DETERMINED,
timing,3273,0.875,CROSSING,0.05
timing,332,0.7583333333333333,CROSSING,0.05
timing,338,0.76666666666666672,CROSSING,0.05
timing,3392,1,VIDEO_DETERMINED,
timing,3395,1,VIDEO_DETERMINED,
timing,34,0.875,CROSSING,0.05
timing,3411,0.875,CENSORED,
timing,3459,1,VIDEO_DETERMINED,
timing,3460,0.65833333333333333,CROSSING,0.05
timing,3464,1,VIDEO_DETERMINED,
timing,3475,1,VIDEO_DETERMINED,
timing,3491,1,VIDEO_DETERMINED,
timing,3496,0.875,CROSSING,0.05
timing,3540,1,VIDEO_DETERMINED,
timing,3570,1,VIDEO_DETERMINED,
timing,3585,1,VIDEO_DETERMINED,
timing,3611,0.43333333333333335,CROSSING,0.05
timing,3630,1,VIDEO_DETERMINED,
timing,3637,0.875,CROSSING,0.05
timing,3657,1,VIDEO_DETERMINED,
timing,3768,0.875,CROSSING,0.05
timing,3780,0.875,CROSSING,0.05
timing,3873,1,VIDEO_DETERMINED,
timing,388,1,VIDEO_DETERMINED,
timing,3912,0.875,CROSSING,0.05
timing,3957,0.875,CROSSING,0.05
timing,3979,0.7583333333333333,CROSSING,0.05
timing,3985,1,VIDEO_DETERMINED,
timing,3994,1,VIDEO_DETERMINED,
timing,4000,0.875,CROSSING,0.35
timing,4063,1,VIDEO_DETERMINED,
timing,4077,0.875,CROSSING,0.05
timing,4122,0.875,CROSSING,0.05
timing,4170,1,VIDEO_DETERMINED,
timing,4268,0.875,CROSSING,0.05
timing,4283,1,VIDEO_DETERMINED,
timing,43,0.5,CROSSING,0.05
timing,4315,0.47499999999999998,CROSSING,0.75
timing,4334,0.57499999999999996,CROSSING,0.05
timing,437,1,VIDEO_DETERMINED,
timing,4398,1,VIDEO_DETERMINED,
timing,4411,0.49166666666666664,CROSSING,0.05
timing,4476,0.45833333333333331,CROSSING,0.05
timing,4510,1,VIDEO_DETERMINED,
timing,452,1,VIDEO_DETERMINED,
timing,4563,1,VIDEO_DETERMINED,
timing,457,0.48333333333333334,CROSSING,0.05
timing,4590,0.875,CROSSING,0.90
timing,4635,1,VIDEO_DETERMINED,
timing,4671,1,VIDEO_DETERMINED,
timing,4694,0.76666666666666672,CROSSING,0.05
timing,4720,1,VIDEO_DETERMINED,
timing,477,1,VIDEO_DETERMINED,
timing,481,0.59999999999999998,CROSSING,0.15
timing,4855,1,VIDEO_DETERMINED,
timing,4863,0.7583333333333333,CROSSING,0.05
timing,4870,1,VIDEO_DETERMINED,
timing,4876,1,VIDEO_DETERMINED,
timing,4881,1,VIDEO_DETERMINED,
timing,4883,0.67500000000000004,CROSSING,0.05
timing,4935,0.875,CROSSING,0.45
timing,4939,1,VIDEO_DETERMINED,
timing,4996,1,VIDEO_DETERMINED,
timing,502,0.67500000000000004,CROSSING,0.05
timing,505,1,VIDEO_DETERMINED,
timing,527,0.09166666666666666,CROSSING,0.05
timing,547,0.27500000000000002,CROSSING,0.05
timing,595,1,VIDEO_DETERMINED,
timing,596,0.875,CROSSING,0.05
timing,63,1,VIDEO_DETERMINED,
timing,643,1,VIDEO_DETERMINED,
timing,658,1,VIDEO_DETERMINED,
timing,662,0.5083333333333333,CROSSING,0.05
timing,67,0.875,CROSSING,0.05
timing,691,1,VIDEO_DETERMINED,
timing,706,0.875,CROSSING,0.75
timing,728,1,VIDEO_DETERMINED,
timing,819,0.65833333333333333,CROSSING,0.05
timing,844,0.875,CROSSING,0.05
timing,847,1,VIDEO_DETERMINED,
timing,849,0.875,CROSSING,0.05
timing,859,0.875,CROSSING,0.05
timing,905,1,VIDEO_DETERMINED,
timing,913,1,VIDEO_DETERMINED,
timing,92,1,VIDEO_DETERMINED,
timing,920,0.65000000000000002,CROSSING,0.05
timing,935,0.76666666666666672,CROSSING,0.05
timing,955,0.67500000000000004,CROSSING,0.05
timing,96,1,VIDEO_DETERMINED,
class,1002,0.8666666666666667,CENSORED,
class,1003,0.22727272727272727,CROSSING,0.90
class,1048,0.34615384615384615,CENSORED,
class,1094,0.40909090909090912,CROSSING,0.15
class,1131,0.56060606060606055,CROSSING,0.60
class,115,0.44444444444444442,CROSSING,0.75
class,1152,0.35555555555555557,CROSSING,0.15
class,116,0.25,CROSSING,0.05
