clip,cfg,axis_id,s,a_fork_conf,n_conf,abstain_fork,a_independent_conf,abstain_ind,commit_gain,a_fork_emb,a_ind_emb
2741,1.0,presence,0.6,0.750000,8,0.0000,1.000000,0.0000,0.000000,0.971039,0.767518
2741,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.992019,0.767518
2741,4.5,class,0.05,0.500000,4,0.5000,1.000000,0.0000,0.000000,0.945790,0.843566
2741,4.5,class,0.3,0.714286,7,0.1250,1.000000,0.0000,0.000000,0.948204,0.843566
2741,4.5,class,0.6,1.000000,6,0.2500,1.000000,0.0000,0.000000,0.983702,0.843566
2741,4.5,class,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.994309,0.843566
2741,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.945790,0.843566
2741,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.948204,0.843566
2741,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.983702,0.843566
2741,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.994309,0.843566
2797,1.0,class,0.05,NaN,1,0.8750,1.000000,0.3750,NaN,0.858167,0.757156
2797,1.0,class,0.3,1.000000,4,0.5000,1.000000,0.3750,0.000000,0.867215,0.757156
2797,1.0,class,0.6,1.000000,4,0.5000,1.000000,0.3750,0.000000,0.933878,0.757156
2797,1.0,class,0.9,1.000000,4,0.5000,1.000000,0.3750,0.000000,0.963858,0.757156
2797,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.858167,0.757156
2797,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.867215,0.757156
2797,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.933878,0.757156
2797,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.963858,0.757156
2797,4.5,class,0.05,0.200000,5,0.3750,1.000000,0.7500,0.000000,0.932418,0.895671
2797,4.5,class,0.3,1.000000,2,0.7500,1.000000,0.7500,0.000000,0.957677,0.895671
2797,4.5,class,0.6,0.666667,6,0.2500,1.000000,0.7500,0.000000,0.977232,0.895671
2797,4.5,class,0.9,1.000000,4,0.5000,1.000000,0.7500,0.000000,0.994807,0.895671
2797,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.932418,0.895671
2797,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.957677,0.895671
2797,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.977232,0.895671
2797,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.994807,0.895671
4053,1.0,class,0.05,0.392857,8,0.0000,0.714286,0.1250,0.000000,0.852609,0.811589
4053,1.0,class,0.3,0.400000,6,0.2500,0.714286,0.1250,0.000000,0.875828,0.811589
4053,1.0,class,0.6,0.714286,7,0.1250,0.714286,0.1250,0.000000,0.920583,0.811589
4053,1.0,class,0.9,0.523810,7,0.1250,0.714286,0.1250,0.000000,0.971341,0.811589
4053,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.852609,0.811589
4053,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.875828,0.811589
4053,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.920583,0.811589
4053,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.971341,0.811589
4053,4.5,class,0.05,1.000000,2,0.7500,0.200000,0.2500,1.000000,0.923927,0.787515
4053,4.5,class,0.3,0.600000,5,0.3750,0.200000,0.2500,0.500000,0.952749,0.787515
4053,4.5,class,0.6,1.000000,6,0.2500,0.200000,0.2500,1.000000,0.963511,0.787515
4053,4.5,class,0.9,1.000000,8,0.0000,0.200000,0.2500,1.000000,0.989024,0.787515
4053,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.923927,0.787515
4053,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.952749,0.787515
4053,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.963511,0.787515
4053,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.989024,0.787515
4443,1.0,class,0.05,0.333333,3,0.6250,0.142857,0.1250,0.222222,0.736492,0.695782
4443,1.0,class,0.3,NaN,0,1.0000,0.142857,0.1250,NaN,0.929089,0.695782
4443,1.0,class,0.6,NaN,0,1.0000,0.142857,0.1250,NaN,0.966707,0.695782
4443,1.0,class,0.9,NaN,0,1.0000,0.142857,0.1250,NaN,0.988236,0.695782
4443,1.0,presence,0.05,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.736492,0.695782
4443,1.0,presence,0.3,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.929089,0.695782
4443,1.0,presence,0.6,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.966707,0.695782
4443,1.0,presence,0.9,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.988236,0.695782
4443,4.5,class,0.05,1.000000,8,0.0000,0.000000,0.7500,1.000000,0.950499,0.769892
4443,4.5,class,0.3,1.000000,8,0.0000,0.000000,0.7500,1.000000,0.962735,0.769892
4443,4.5,class,0.6,1.000000,8,0.0000,0.000000,0.7500,1.000000,0.985457,0.769892
4443,4.5,class,0.9,1.000000,8,0.0000,0.000000,0.7500,1.000000,0.992530,0.769892
4443,4.5,presence,0.05,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.950499,0.769892
4443,4.5,presence,0.3,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.962735,0.769892
4443,4.5,presence,0.6,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.985457,0.769892
4443,4.5,presence,0.9,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.992530,0.769892
