clip,axis_id,a_independent
2237,material,0.6456389769181469
2237,presence,1.0
2237,timing,1.0
2082,class,0.5714285714285714
2082,material,0.6506077422630957
2082,presence,1.0
2082,timing,1.0
1196,class,1.0
1196,material,0.6918912548653389
1196,presence,1.0
1196,timing,1.0
527,class,0.5
527,material,0.5923345671364082
527,presence,0.5714285714285714
527,timing,0.03571428571428571
2418,class,0.5238095238095238
2418,material,0.7226993151944904
2418,presence,1.0
2418,timing,0.75
1568,class,0.2
1568,material,0.5528778043585455
1568,presence,0.75
1568,timing,1.0
216,class,0.0
216,material,0.6292210807581669
216,presence,1.0
216,timing,1.0
2307,class,0.47619047619047616
2307,material,0.6209511493291646
2307,presence,0.5714285714285714
2307,timing,0.39285714285714285
1270,class,1.0
1270,material,0.5616903693986083
1270,presence,0.4642857142857143
1270,timing,0.75
2,class,0.4
2,material,0.5648655585316665
2,presence,1.0
2,timing,0.75
1263,class,0.3
1263,material,0.45263995358310877
1263,presence,0.75
1263,timing,0.5357142857142857
4398,class,0.16666666666666666
4398,material,0.7083229510902462
4398,presence,0.42857142857142855
4398,timing,1.0
2887,class,0.0
2887,material,0.7010191582432709
2887,presence,1.0
2887,timing,1.0
849,class,1.0
849,material,0.706818729499602
849,presence,0.75
849,timing,1.0
1034,class,0.047619047619047616
1034,material,0.5769275386293514
1034,presence,1.0
1034,timing,1.0
1527,class,0.5
1527,material,0.849193842819003
1527,presence,1.0
1527,timing,1.0
4881,class,0.4
4881,material,0.7093844244345312
4881,presence,0.5714285714285714
4881,timing,1.0
1447,class,nan
1447,material,0.7523824651251542
1447,presence,0.75
1447,timing,0.5357142857142857
2173,class,0.17857142857142858
2173,material,0.6324012722737179
2173,presence,0.75
2173,timing,0.5357142857142857
847,class,0.5
847,material,0.5166341223742823
847,presence,1.0
847,timing,1.0
3611,class,1.0
3611,material,0.7014875553527932
3611,presence,1.0
3611,timing,0.75
1868,class,0.2
1868,material,0.7508781918636629
1868,presence,1.0
