video_id,base_seed,progress,a_independent,a_fork_confident,commitment_gain,n_forks,n_confident_forks,fork_abstention_rate,fork_majority_label,fork_majority_share
1003,8,0.15,0.09090909090909091,0.5,0.44999999999999996,12,4,0.6666666666666667,impact_friction,0.75
1003,8,0.25,0.09090909090909091,0.4888888888888889,0.4377777777777778,12,10,0.16666666666666663,vehicles,0.7
1003,8,0.35,0.09090909090909091,0.5238095238095238,0.4761904761904762,12,7,0.41666666666666663,vehicles,0.7142857142857143
1003,8,0.45,0.09090909090909091,0.42857142857142855,0.37142857142857144,12,8,0.33333333333333337,,0.5
1003,8,0.6,0.09090909090909091,0.4642857142857143,0.4107142857142857,12,8,0.33333333333333337,vehicles,0.625
1003,8,0.75,0.09090909090909091,0.4,0.34,12,6,0.5,,0.5
1003,8,0.9,0.09090909090909091,1.0,1.0,12,5,0.5833333333333333,vehicles,1.0
1003,9,0.05,0.09090909090909091,0.21428571428571427,0.1357142857142857,12,8,0.33333333333333337,vehicles,0.5
1003,9,0.15,0.09090909090909091,0.3,0.22999999999999998,12,5,0.5833333333333333,vehicles,0.6
1003,9,0.25,0.09090909090909091,0.16363636363636364,0.08,12,11,0.08333333333333337,animals,0.36363636363636365
1003,9,0.35,0.09090909090909091,0.19047619047619047,0.10952380952380951,12,7,0.41666666666666663,animals,0.42857142857142855
1003,9,0.45,0.09090909090909091,0.5333333333333333,0.48666666666666664,12,10,0.16666666666666663,animals,0.7
1003,9,0.6,0.09090909090909091,1.0,1.0,12,3,0.75,animals,1.0
1003,9,0.75,0.09090909090909091,1.0,1.0,12,9,0.25,animals,1.0
1003,9,0.9,0.09090909090909091,1.0,1.0,12,6,0.5,animals,1.0
1003,10,0.05,0.09090909090909091,0.3333333333333333,0.26666666666666666,12,3,0.75,machines_motors,0.6666666666666666
1003,10,0.15,0.09090909090909091,0.75,0.725,12,8,0.33333333333333337,machines_motors,0.875
1003,10,0.25,0.09090909090909091,1.0,1.0,12,5,0.5833333333333333,machines_motors,1.0
1003,10,0.35,0.09090909090909091,0.4666666666666667,0.41333333333333333,12,6,0.5,machines_motors,0.6666666666666666
1003,10,0.45,0.09090909090909091,1.0,1.0,12,2,0.8333333333333334,machines_motors,1.0
1003,10,0.6,0.09090909090909091,0.7777777777777778,0.7555555555555555,12,9,0.25,machines_motors,0.8888888888888888
1003,10,0.75,0.09090909090909091,1.0,1.0,12,9,0.25,machines_motors,1.0
1003,10,0.9,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,machines_motors,1.0
1003,11,0.05,0.09090909090909091,0.42857142857142855,0.37142857142857144,12,8,0.33333333333333337,,0.5
1003,11,0.15,0.09090909090909091,0.7777777777777778,0.7555555555555555,12,9,0.25,impact_friction,0.8888888888888888
1003,11,0.25,0.09090909090909091,0.7777777777777778,0.7555555555555555,12,9,0.25,impact_friction,0.8888888888888888
1003,11,0.35,0.09090909090909091,1.0,1.0,12,9,0.25,impact_friction,1.0
1003,11,0.45,0.09090909090909091,1.0,1.0,12,11,0.08333333333333337,impact_friction,1.0
1003,11,0.6,0.09090909090909091,1.0,1.0,12,12,0.0,impact_friction,1.0
1003,11,0.75,0.09090909090909091,1.0,1.0,12,12,0.0,impact_friction,1.0
1003,11,0.9,0.09090909090909091,1.0,1.0,12,12,0.0,impact_friction,1.0
1003,12,0.05,0.09090909090909091,0.2,0.12000000000000001,12,6,0.5,machines_motors,0.5
1003,12,0.15,0.09090909090909091,0.2,0.12000000000000001,12,5,0.5833333333333333,,0.4
1003,12,0.25,0.09090909090909091,0.3333333333333333,0.26666666666666666,12,7,0.41666666666666663,machines_motors,0.5714285714285714
