clip,cfg,axis_id,s,a_fork,a_independent,commit_gain
4541,1.0,class,0.6,1.000000,0.000000,1.000000
4541,1.0,class,0.9,1.000000,0.000000,1.000000
4541,1.0,presence,0.05,1.000000,1.000000,0.000000
4541,1.0,presence,0.3,1.000000,1.000000,0.000000
4541,1.0,presence,0.6,1.000000,1.000000,0.000000
4541,1.0,presence,0.9,1.000000,1.000000,0.000000
4541,4.5,class,0.05,0.000000,0.000000,0.000000
4541,4.5,class,0.3,0.000000,0.000000,0.000000
4541,4.5,class,0.6,0.000000,0.000000,0.000000
4541,4.5,class,0.9,0.000000,0.000000,0.000000
4541,4.5,presence,0.05,1.000000,1.000000,0.000000
4541,4.5,presence,0.3,1.000000,1.000000,0.000000
4541,4.5,presence,0.6,1.000000,1.000000,0.000000
4541,4.5,presence,0.9,1.000000,1.000000,0.000000
655,1.0,class,0.05,0.000000,0.000000,0.000000
655,1.0,class,0.3,0.000000,0.000000,0.000000
655,1.0,class,0.6,0.000000,0.000000,0.000000
655,1.0,class,0.9,0.000000,0.000000,0.000000
655,1.0,presence,0.05,0.464286,0.571429,0.000000
655,1.0,presence,0.3,0.571429,0.571429,0.000000
655,1.0,presence,0.6,0.750000,0.571429,0.416667
655,1.0,presence,0.9,1.000000,0.571429,1.000000
655,4.5,class,0.05,0.000000,0.000000,0.000000
655,4.5,class,0.3,0.000000,0.000000,0.000000
655,4.5,class,0.6,0.000000,0.000000,0.000000
655,4.5,class,0.9,0.000000,0.000000,0.000000
655,4.5,presence,0.05,0.571429,0.750000,0.000000
655,4.5,presence,0.3,0.750000,0.750000,0.000000
655,4.5,presence,0.6,0.750000,0.750000,0.000000
655,4.5,presence,0.9,0.750000,0.750000,0.000000
794,1.0,class,0.05,1.000000,1.000000,0.000000
794,1.0,class,0.3,1.000000,1.000000,0.000000
794,1.0,class,0.6,1.000000,1.000000,0.000000
794,1.0,class,0.9,1.000000,1.000000,0.000000
794,1.0,presence,0.05,1.000000,1.000000,0.000000
794,1.0,presence,0.3,1.000000,1.000000,0.000000
794,1.0,presence,0.6,1.000000,1.000000,0.000000
794,1.0,presence,0.9,1.000000,1.000000,0.000000
794,4.5,class,0.05,1.000000,1.000000,0.000000
794,4.5,class,0.3,1.000000,1.000000,0.000000
794,4.5,class,0.6,1.000000,1.000000,0.000000
794,4.5,class,0.9,1.000000,1.000000,0.000000
794,4.5,presence,0.05,1.000000,1.000000,0.000000
794,4.5,presence,0.3,1.000000,1.000000,0.000000
794,4.5,presence,0.6,1.000000,1.000000,0.000000
794,4.5,presence,0.9,1.000000,1.000000,0.000000
832,1.0,class,0.05,1.000000,1.000000,0.000000
832,1.0,class,0.3,1.000000,1.000000,0.000000
832,1.0,class,0.6,1.000000,1.000000,0.000000
832,1.0,class,0.9,1.000000,1.000000,0.000000
832,1.0,presence,0.05,1.000000,1.000000,0.000000
832,1.0,presence,0.3,1.000000,1.000000,0.000000
832,1.0,presence,0.6,1.000000,1.000000,0.000000
832,1.0,presence,0.9,1.000000,1.000000,0.000000
832,4.5,class,0.05,1.000000,1.000000,0.000000
832,4.5,class,0.3,1.000000,1.000000,0.000000
832,4.5,class,0.6,1.000000,1.000000,0.000000
832,4.5,class,0.9,1.000000,1.000000,0.000000
832,4.5,presence,0.05,1.000000,1.000000,0.000000
832,4.5,presence,0.3,1.000000,1.000000,0.000000
832,4.5,presence,0.6,1.000000,1.000000,0.000000
832,4.5,presence,0.9,1.000000,1.000000,0.000000
894,1.0,class,0.05,0.000000,0.000000,0.000000
894,1.0,class,0.3,0.000000,0.000000,0.000000
894,1.0,class,0.6,1.000000,0.000000,1.000000
894,1.0,class,0.9,1.000000,0.000000,1.000000
894,1.0,presence,0.05,1.000000,1.000000,0.000000
894,1.0,presence,0.3,1.000000,1.000000,0.000000
894,1.0,presence,0.6,1.000000,1.000000,0.000000
894,1.0,presence,0.9,1.000000,1.000000,0.000000
894,4.5,class,0.05,1.000000,1.000000,0.000000
894,4.5,class,0.3,1.000000,1.000000,0.000000
894,4.5,class,0.6,1.000000,1.000000,0.000000
894,4.5,class,0.9,1.000000,1.000000,0.000000
894,4.5,presence,0.05,1.000000,1.000000,0.000000
894,4.5,presence,0.3,1.000000,1.000000,0.000000
894,4.5,presence,0.6,1.000000,1.000000,0.000000
894,4.5,presence,0.9,1.000000,1.000000,0.000000
926,1.0,class,0.05,0.000000,0.000000,0.000000
926,1.0,class,0.3,1.000000,0.000000,1.000000
926,1.0,class,0.6,1.000000,0.000000,1.000000
926,1.0,class,0.9,1.000000,0.000000,1.000000
926,1.0,presence,0.05,0.750000,1.000000,0.000000
926,1.0,presence,0.3,1.000000,1.000000,0.000000
926,1.0,presence,0.6,1.000000,1.000000,0.000000
926,1.0,presence,0.9,1.000000,1.000000,0.000000
926,4.5,class,0.05,0.000000,1.000000,0.000000
926,4.5,class,0.3,0.000000,1.000000,0.000000
926,4.5,class,0.6,0.000000,1.000000,0.000000
926,4.5,class,0.9,0.000000,1.000000,0.000000
926,4.5,presence,0.05,0.464286,1.000000,0.000000
926,4.5,presence,0.3,0.750000,1.000000,0.000000
926,4.5,presence,0.6,1.000000,1.000000,0.000000
926,4.5,presence,0.9,1.000000,1.000000,0.000000
